business_id,name,categories,latitude,longitude
osm_Vivek Hospital_hospital,Vivek Hospital,hospital,17.3598544,78.504485
osm_Vijay Marie Hospital_hospital,Vijay Marie Hospital,hospital,17.4073909,78.4559655
osm_Madhava Nursing Home_hospital,Madhava Nursing Home,hospital,17.4409578,78.5020941
osm_Deepa Hospital_hospital,Deepa Hospital,hospital,17.3763924,78.4676445
osm_Vinciti Hospital_hospital,Vinciti Hospital,hospital,17.4767414,78.4798486
osm_Sandhya Nursing Home_hospital,Sandhya Nursing Home,hospital,17.4932209,78.327158
osm_Premier Hospital_hospital,Premier Hospital,hospital,17.3915772,78.4268716
osm_Vasundhara Nursing Home_hospital,Vasundhara Nursing Home,hospital,17.4226373,78.4951296
osm_L.V. Prasad Eye Institute_hospital,L.V. Prasad Eye Institute,hospital,17.4391256,78.3958378
osm_Shamshad Children's Hospital_hospital,Shamshad Children's Hospital,hospital,17.3979236,78.4175335
osm_Curewell Hospital_hospital,Curewell Hospital,hospital,17.4059206,78.4606527
osm_Saluja Hospital_hospital,Saluja Hospital,hospital,17.4350761,78.5028817
osm_Vijaya Krishna Nursing Home_hospital,Vijaya Krishna Nursing Home,hospital,17.4525697,78.4444669
osm_Vasu Hospital_hospital,Vasu Hospital,hospital,17.376004,78.4190007
osm_Jaferia Hospital_hospital,Jaferia Hospital,hospital,17.370373,78.487161
osm_Sravani Hospital_hospital,Sravani Hospital,hospital,17.3503388,78.4916899
osm_Rishab Eye Centre_hospital,Rishab Eye Centre,hospital,17.4810002,78.5334009
osm_Micro Care Ent Hospital and Research Institute_hospital,Micro Care Ent Hospital and Research Institute,hospital,17.4940242,78.3985448
osm_Anand Vitreo Retina Institute Pvt Ltd_hospital,Anand Vitreo Retina Institute Pvt Ltd,hospital,17.4255423,78.5340929
osm_Vanaja Hospitals_hospital,Vanaja Hospitals,hospital,17.4775643,78.5529341
osm_Geetanjali Test Tube Baby Centre_hospital,Geetanjali Test Tube Baby Centre,hospital,17.4812995,78.5563056
osm_Princess Durru Shehvar Children's And General Hospital_hospital,Princess Durru Shehvar Children's And General Hospital,hospital,17.367312,78.4826575
"osm_SRI LAXMI MULTI SPECIALITY HOSPITAL, LAPROSCOPIC AND RESEARCH CENTRE_hospital","SRI LAXMI MULTI SPECIALITY HOSPITAL, LAPROSCOPIC AND RESEARCH CENTRE",hospital,17.3760514,78.5569091
osm_Thumbay Hospital New Life_hospital,Thumbay Hospital New Life,hospital,17.376873,78.490338
osm_Srivision Super Speciality Eye Hospital_hospital,Srivision Super Speciality Eye Hospital,hospital,17.4343967,78.4173229
osm_Anantha Lakshmi Kidney and Multi Specialty Hospital_hospital,Anantha Lakshmi Kidney and Multi Specialty Hospital,hospital,17.3974654,78.5366464
osm_Susheela Hospital_hospital,Susheela Hospital,hospital,17.4352974,78.4365799
osm_Jaya Bhushan Hospitals Pvt. Ltd_hospital,Jaya Bhushan Hospitals Pvt. Ltd,hospital,17.394618,78.4386519
osm_Asian E.N.T. Care Centre_hospital,Asian E.N.T. Care Centre,hospital,17.4216154,78.4556772
osm_Ayodhya Nursing Home_hospital,Ayodhya Nursing Home,hospital,17.3913379,78.4348029
osm_Sree Raghavendra Hospital_hospital,Sree Raghavendra Hospital,hospital,17.3178961,78.4453909
osm_Aware gleneagles Global Hospital;Aware Gleneagles Global Hospital's Blood Bank_hospital,Aware gleneagles Global Hospital;Aware Gleneagles Global Hospital's Blood Bank,hospital,17.345958,78.5399126
osm_Sai Siva Children’s Hospital_hospital,Sai Siva Children’s Hospital,hospital,17.4941988,78.3240189
osm_Sri Tirumala Maternity and Nursing Home_hospital,Sri Tirumala Maternity and Nursing Home,hospital,17.4232391,78.5163756
osm_Marvel Maternity and Nursing Home_hospital,Marvel Maternity and Nursing Home,hospital,17.3292521,78.4787576
osm_Akira Eye Surgical Annexe_hospital,Akira Eye Surgical Annexe,hospital,17.4034853,78.4924355
osm_Kadimi Nursing Home_hospital,Kadimi Nursing Home,hospital,17.4939308,78.3267166
osm_Jayasai Hospital For Women_hospital,Jayasai Hospital For Women,hospital,17.4850586,78.4471166
osm_Ragi Hospital_hospital,Ragi Hospital,hospital,17.4957541,78.3410724
osm_SRESHTA SRI KAMALA HOSPITALS_hospital,SRESHTA SRI KAMALA HOSPITALS,hospital,17.3682886,78.5220303
osm_Bhavan's Sarada Devi Hospital_hospital,Bhavan's Sarada Devi Hospital,hospital,17.4825166,78.5510686
osm_Sulochana Eye Centre_hospital,Sulochana Eye Centre,hospital,17.4019445,78.4776311
osm_Muslim Maternity and Children's Hospital_hospital,Muslim Maternity and Children's Hospital,hospital,17.3751644,78.4898807
osm_Shashi Hospital_hospital,Shashi Hospital,hospital,17.3695416,78.5213698
osm_Sundari Maternity and General Hospital_hospital,Sundari Maternity and General Hospital,hospital,17.5028854,78.5132843
osm_Bhavya Hospital_hospital,Bhavya Hospital,hospital,17.3771559,78.557005
osm_Fehmi Care Hospital_hospital,Fehmi Care Hospital,hospital,17.437122,78.4272954
osm_Sriya Hospital_hospital,Sriya Hospital,hospital,17.4751261,78.5394748
osm_Mirra Multi Specialty Hospital_hospital,Mirra Multi Specialty Hospital,hospital,17.5044701,78.3564663
osm_Pulse Hospitals_hospital,Pulse Hospitals,hospital,17.421726,78.5041333
osm_S.V. Hospital_hospital,S.V. Hospital,hospital,17.4467703,78.4504817
osm_Krishna Multi Speciality Hospital_hospital,Krishna Multi Speciality Hospital,hospital,17.3973433,78.5603427
osm_Sri Sai Kidney Centre_hospital,Sri Sai Kidney Centre,hospital,17.4354676,78.4514661
osm_Sunrise Superspeciality Children's Hospital_hospital,Sunrise Superspeciality Children's Hospital,hospital,17.3930464,78.4890948
osm_Raghavendra Hospital_hospital,Raghavendra Hospital,hospital,17.4747705,78.5678552
osm_GSN Hospital_hospital,GSN Hospital,hospital,17.4418419,78.4452461
osm_Challa Eye Care Centre_hospital,Challa Eye Care Centre,hospital,17.4281872,78.432519
osm_Royal Hospital For Dentistry and Facial Surgery_hospital,Royal Hospital For Dentistry and Facial Surgery,hospital,17.4121475,78.4569848
osm_Matrix Hospital_hospital,Matrix Hospital,hospital,17.4002374,78.5405061
osm_M S Reddy Lions Eye Hospital_hospital,M S Reddy Lions Eye Hospital,hospital,17.4571396,78.5631077
